m,TagName,
"2012-10-01 00:00:00","r","1267"
"2012-10-01 00:00:00","ruby","2255"
"2012-10-01 00:00:00","swift","4"
"2012-11-01 00:00:00","assembly","303"
"2012-11-01 00:00:00","c","3185"
"2012-11-01 00:00:00","c#","12223"
"2012-11-01 00:00:00","c++","6263"
"2012-11-01 00:00:00","delphi","442"
"2012-11-01 00:00:00","go","104"
"2012-11-01 00:00:00","java","13578"
"2012-11-01 00:00:00","javascript","12319"
"2012-11-01 00:00:00","perl","636"
"2012-11-01 00:00:00","php","11705"
"2012-11-01 00:00:00","python","6388"
"2012-11-01 00:00:00","r","1345"
"2012-11-01 00:00:00","ruby","2128"
"2012-11-01 00:00:00","swift","4"
"2012-12-01 00:00:00","assembly","264"
"2012-12-01 00:00:00","c","2560"
"2012-12-01 00:00:00","c#","10944"
"2012-12-01 00:00:00","c++","5679"
"2012-12-01 00:00:00","delphi","428"
"2012-12-01 00:00:00","go","112"
"2012-12-01 00:00:00","java","12400"
"2012-12-01 00:00:00","javascript","11729"
"2012-12-01 00:00:00","perl","551"
"2012-12-01 00:00:00","php","10989"
"2012-12-01 00:00:00","python","5741"
"2012-12-01 00:00:00","r","1213"
"2012-12-01 00:00:00","ruby","1902"
"2012-12-01 00:00:00","swift","4"
"2013-01-01 00:00:00","assembly","294"
"2013-01-01 00:00:00","c","2901"
"2013-01-01 00:00:00","c#","12742"
"2013-01-01 00:00:00","c++","6030"
"2013-01-01 00:00:00","delphi","480"
"2013-01-01 00:00:00","go","101"
"2013-01-01 00:00:00","java","13677"
"2013-01-01 00:00:00","javascript","13759"
"2013-01-01 00:00:00","perl","660"
"2013-01-01 00:00:00","php","12803"
"2013-01-01 00:00:00","python","6560"
"2013-01-01 00:00:00","r","1506"
"2013-01-01 00:00:00","ruby","2303"
"2013-01-01 00:00:00","swift","5"
"2013-02-01 00:00:00","assembly","324"
"2013-02-01 00:00:00","c","3085"
"2013-02-01 00:00:00","c#","12471"
"2013-02-01 00:00:00","c++","6050"
"2013-02-01 00:00:00","delphi","447"
"2013-02-01 00:00:00","go","117"
"2013-02-01 00:00:00","java","13659"
"2013-02-01 00:00:00","javascript","13605"
"2013-02-01 00:00:00","perl","745"
"2013-02-01 00:00:00","php","12468"
"2013-02-01 00:00:00","python","6723"
"2013-02-01 00:00:00","r","1656"
"2013-02-01 00:00:00","ruby","2209"
"2013-02-01 00:00:00","swift","6"
"2013-03-01 00:00:00","assembly","367"
"2013-03-01 00:00:00","c","3427"
"2013-03-01 00:00:00","c#","14218"
"2013-03-01 00:00:00","c++","7170"
"2013-03-01 00:00:00","delphi","523"
"2013-03-01 00:00:00","go","127"
"2013-03-01 00:00:00","java","15868"
"2013-03-01 00:00:00","javascript","15252"
"2013-03-01 00:00:00","perl","850"
"2013-03-01 00:00:00","php","14027"
"2013-03-01 00:00:00","python","7600"
"2013-03-01 00:00:00","r","1846"
"2013-03-01 00:00:00","ruby","2557"
"2013-03-01 00:00:00","swift","5"
"2013-04-01 00:00:00","assembly","332"
"2013-04-01 00:00:00","c","3524"
"2013-04-01 00:00:00","c#","13861"
"2013-04-01 00:00:00","c++","7107"
"2013-04-01 00:00:00","delphi","509"
"2013-04-01 00:00:00","go","125"
"2013-04-01 00:00:00","java","16178"
"2013-04-01 00:00:00","javascript","15283"
"2013-04-01 00:00:00","perl","837"
"2013-04-01 00:00:00","php","13323"
"2013-04-01 00:00:00","python","7914"
"2013-04-01 00:00:00","r","1835"
"2013-04-01 00:00:00","ruby","2459"
"2013-04-01 00:00:00","swift","6"
"2013-05-01 00:00:00","assembly","301"
"2013-05-01 00:00:00","c","3188"
"2013-05-01 00:00:00","c#","13432"
"2013-05-01 00:00:00","c++","6817"
"2013-05-01 00:00:00","delphi","534"
"2013-05-01 00:00:00","go","142"
"2013-05-01 00:00:00","java","15232"
"2013-05-01 00:00:00","javascript","15018"
"2013-05-01 00:00:00","perl","901"
"2013-05-01 00:00:00","php","13013"
"2013-05-01 00:00:00","python","7790"
"2013-05-01 00:00:00","r","1778"
"2013-05-01 00:00:00","ruby","2337"
"2013-05-01 00:00:00","swift","2"
"2013-06-01 00:00:00","assembly","293"
"2013-06-01 00:00:00","c","2931"
"2013-06-01 00:00:00","c#","12754"
"2013-06-01 00:00:00","c++","6181"
"2013-06-01 00:00:00","delphi","474"
"2013-06-01 00:00:00","go","175"
"2013-06-01 00:00:00","java","13884"
"2013-06-01 00:00:00","javascript","14569"
"2013-06-01 00:00:00","perl","828"
"2013-06-01 00:00:00","php","12643"
"2013-06-01 00:00:00","python","7583"
"2013-06-01 00:00:00","r","1774"
"2013-06-01 00:00:00","ruby","2220"
"2013-06-01 00:00:00","swift","4"
"2013-07-01 00:00:00","assembly","297"
"2013-07-01 00:00:00","c","3006"
"2013-07-01 00:00:00","c#","14138"
"2013-07-01 00:00:00","c++","6571"
"2013-07-01 00:00:00","delphi","506"
"2013-07-01 00:00:00","go","200"
"2013-07-01 00:00:00","java","15139"
"2013-07-01 00:00:00","javascript","16768"
"2013-07-01 00:00:00","perl","952"
"2013-07-01 00:00:00","php","14229"
"2013-07-01 00:00:00","python","8597"
"2013-07-01 00:00:00","r","1963"
"2013-07-01 00:00:00","ruby","2437"
"2013-07-01 00:00:00","swift","7"
"2013-08-01 00:00:00","assembly","211"
"2013-08-01 00:00:00","c","3002"
"2013-08-01 00:00:00","c#","13815"
"2013-08-01 00:00:00","c++","6239"
"2013-08-01 00:00:00","delphi","449"
"2013-08-01 00:00:00","go","207"
"2013-08-01 00:00:00","java","15011"
"2013-08-01 00:00:00","javascript","16796"
"2013-08-01 00:00:00","perl","834"
"2013-08-01 00:00:00","php","14216"
"2013-08-01 00:00:00","python","7933"
"2013-08-01 00:00:00","r","1915"
"2013-08-01 00:00:00","ruby","2477"
"2013-08-01 00:00:00","swift","4"
"2013-09-01 00:00:00","assembly","290"
"2013-09-01 00:00:00","c","3384"
"2013-09-01 00:00:00","c#","13726"
"2013-09-01 00:00:00","c++","6534"
"2013-09-01 00:00:00","delphi","487"
"2013-09-01 00:00:00","go","237"
"2013-09-01 00:00:00","java","16211"
"2013-09-01 00:00:00","javascript","17647"
"2013-09-01 00:00:00","perl","684"
"2013-09-01 00:00:00","php","14168"
"2013-09-01 00:00:00","python","7947"
"2013-09-01 00:00:00","r","1709"
"2013-09-01 00:00:00","ruby","2386"
"2013-09-01 00:00:00","swift","9"
"2013-10-01 00:00:00","assembly","377"
"2013-10-01 00:00:00","c","4230"
"2013-10-01 00:00:00","c#","15156"
"2013-10-01 00:00:00","c++","7951"
"2013-10-01 00:00:00","delphi","520"
"2013-10-01 00:00:00","go","211"
"2013-10-01 00:00:00","java","18654"
"2013-10-01 00:00:00","javascript","19660"
"2013-10-01 00:00:00","perl","814"
"2013-10-01 00:00:00","php","15236"
"2013-10-01 00:00:00","python","9464"
"2013-10-01 00:00:00","r","2086"
"2013-10-01 00:00:00","ruby","2787"
"2013-10-01 00:00:00","swift","10"
"2013-11-01 00:00:00","assembly","417"
"2013-11-01 00:00:00","c","4276"
"2013-11-01 00:00:00","c#","14542"
"2013-11-01 00:00:00","c++","8103"
"2013-11-01 00:00:00","delphi","460"
"2013-11-01 00:00:00","go","209"
"2013-11-01 00:00:00","java","18687"
"2013-11-01 00:00:00","javascript","18423"
"2013-11-01 00:00:00","perl","820"
"2013-11-01 00:00:00","php","14786"
"2013-11-01 00:00:00","python","9465"
"2013-11-01 00:00:00","r","2185"
"2013-11-01 00:00:00","ruby","2573"
"2013-11-01 00:00:00","swift","5"
"2013-12-01 00:00:00","assembly","358"
"2013-12-01 00:00:00","c","3494"
"2013-12-01 00:00:00","c#","13587"
"2013-12-01 00:00:00","c++","6987"
"2013-12-01 00:00:00","delphi","448"
"2013-12-01 00:00:00","go","240"
"2013-12-01 00:00:00","java","17400"
"2013-12-01 00:00:00","javascript","17961"
"2013-12-01 00:00:00","perl","764"
"2013-12-01 00:00:00","php","14350"
"2013-12-01 00:00:00","python","8435"
"2013-12-01 00:00:00","r","1905"
"2013-12-01 00:00:00","ruby","2441"
"2013-12-01 00:00:00","swift","11"
"2014-01-01 00:00:00","assembly","340"
"2014-01-01 00:00:00","c","3724"
"2014-01-01 00:00:00","c#","15295"
"2014-01-01 00:00:00","c++","7674"
"2014-01-01 00:00:00","delphi","490"
"2014-01-01 00:00:00","go","300"
"2014-01-01 00:00:00","java","18614"
"2014-01-01 00:00:00","javascript","21066"
"2014-01-01 00:00:00","perl","809"
"2014-01-01 00:00:00","php","16699"
"2014-01-01 00:00:00","python","9818"
"2014-01-01 00:00:00","r","2345"
"2014-01-01 00:00:00","ruby","2756"
"2014-01-01 00:00:00","swift","6"
"2014-02-01 00:00:00","assembly","372"
"2014-02-01 00:00:00","c","3966"
"2014-02-01 00:00:00","c#","15078"
"2014-02-01 00:00:00","c++","7653"
"2014-02-01 00:00:00","delphi","489"
"2014-02-01 00:00:00","go","204"
"2014-02-01 00:00:00","java","19178"
"2014-02-01 00:00:00","javascript","21085"
"2014-02-01 00:00:00","perl","790"
"2014-02-01 00:00:00","php","16429"
"2014-02-01 00:00:00","python","9876"
"2014-02-01 00:00:00","r","2617"
"2014-02-01 00:00:00","ruby","2596"
"2014-02-01 00:00:00","swift","12"
"2014-03-01 00:00:00","assembly","451"
"2014-03-01 00:00:00","c","4549"
"2014-03-01 00:00:00","c#","16118"
"2014-03-01 00:00:00","c++","8650"
"2014-03-01 00:00:00","delphi","441"
"2014-03-01 00:00:00","go","255"
"2014-03-01 00:00:00","java","21890"
"2014-03-01 00:00:00","javascript","22564"
"2014-03-01 00:00:00","perl","907"
"2014-03-01 00:00:00","php","18210"
"2014-03-01 00:00:00","python","11397"
"2014-03-01 00:00:00","r","2798"
"2014-03-01 00:00:00","ruby","2945"
"2014-03-01 00:00:00","swift","5"
"2014-04-01 00:00:00","assembly","363"
"2014-04-01 00:00:00","c","3998"
"2014-04-01 00:00:00","c#","15246"
"2014-04-01 00:00:00","c++","8106"
"2014-04-01 00:00:00","delphi","390"
"2014-04-01 00:00:00","go","341"
"2014-04-01 00:00:00","java","20766"
"2014-04-01 00:00:00","javascript","21331"
"2014-04-01 00:00:00","perl","820"
"2014-04-01 00:00:00","php","17533"
"2014-04-01 00:00:00","python","10718"
"2014-04-01 00:00:00","r","2729"
"2014-04-01 00:00:00","ruby","2741"
"2014-04-01 00:00:00","swift","5"
"2014-05-01 00:00:00","assembly","329"
"2014-05-01 00:00:00","c","3248"
"2014-05-01 00:00:00","c#","13836"
"2014-05-01 00:00:00","c++","6763"
"2014-05-01 00:00:00","delphi","468"
"2014-05-01 00:00:00","go","278"
"2014-05-01 00:00:00","java","17873"
"2014-05-01 00:00:00","javascript","19682"
"2014-05-01 00:00:00","perl","794"
"2014-05-01 00:00:00","php","14639"
"2014-05-01 00:00:00","python","9214"
"2014-05-01 00:00:00","r","2576"
"2014-05-01 00:00:00","ruby","2671"
"2014-05-01 00:00:00","swift","9"
"2014-06-01 00:00:00","assembly","267"
"2014-06-01 00:00:00","c","2762"
"2014-06-01 00:00:00","c#","12433"
"2014-06-01 00:00:00","c++","5641"
"2014-06-01 00:00:00","delphi","413"
"2014-06-01 00:00:00","go","288"
"2014-06-01 00:00:00","java","15838"
"2014-06-01 00:00:00","javascript","18210"
"2014-06-01 00:00:00","perl","675"
"2014-06-01 00:00:00","php","12899"
"2014-06-01 00:00:00","python","8884"
"2014-06-01 00:00:00","r","2396"
"2014-06-01 00:00:00","ruby","2329"
"2014-06-01 00:00:00","swift","2386"
"2014-07-01 00:00:00","assembly","215"
"2014-07-01 00:00:00","c","2821"
"2014-07-01 00:00:00","c#","13633"
"2014-07-01 00:00:00","c++","6254"
"2014-07-01 00:00:00","delphi","444"
"2014-07-01 00:00:00","go","450"
"2014-07-01 00:00:00","java","17301"
"2014-07-01 00:00:00","javascript","20042"
"2014-07-01 00:00:00","perl","732"
"2014-07-01 00:00:00","php","14184"
"2014-07-01 00:00:00","python","9894"
"2014-07-01 00:00:00","r","2631"
"2014-07-01 00:00:00","ruby","2551"
"2014-07-01 00:00:00","swift","1633"
"2014-08-01 00:00:00","assembly","183"
"2014-08-01 00:00:00","c","2669"
"2014-08-01 00:00:00","c#","12452"
"2014-08-01 00:00:00","c++","5863"
"2014-08-01 00:00:00","delphi","423"
"2014-08-01 00:00:00","go","405"
"2014-08-01 00:00:00","java","15682"
"2014-08-01 00:00:00","javascript","18375"
"2014-08-01 00:00:00","perl","683"
"2014-08-01 00:00:00","php","13115"
"2014-08-01 00:00:00","python","9095"
"2014-08-01 00:00:00","r","2468"
"2014-08-01 00:00:00","ruby","2458"
"2014-08-01 00:00:00","swift","1690"
"2014-09-01 00:00:00","assembly","280"
"2014-09-01 00:00:00","c","3224"
"2014-09-01 00:00:00","c#","12292"
"2014-09-01 00:00:00","c++","6166"
"2014-09-01 00:00:00","delphi","445"
"2014-09-01 00:00:00","go","392"
"2014-09-01 00:00:00","java","16627"
"2014-09-01 00:00:00","javascript","18050"
"2014-09-01 00:00:00","perl","679"
"2014-09-01 00:00:00","php","13282"
"2014-09-01 00:00:00","python","8758"
"2014-09-01 00:00:00","r","2357"
"2014-09-01 00:00:00","ruby","2267"
"2014-09-01 00:00:00","swift","1895"
"2014-10-01 00:00:00","assembly","392"
"2014-10-01 00:00:00","c","3795"
"2014-10-01 00:00:00","c#","12521"
"2014-10-01 00:00:00","c++","6818"
"2014-10-01 00:00:00","delphi","410"
"2014-10-01 00:00:00","go","380"
"2014-10-01 00:00:00","java","17831"
"2014-10-01 00:00:00","javascript","18844"
"2014-10-01 00:00:00","perl","638"
"2014-10-01 00:00:00","php","13513"
"2014-10-01 00:00:00","python","9556"
"2014-10-01 00:00:00","r","2765"
"2014-10-01 00:00:00","ruby","2339"
"2014-10-01 00:00:00","swift","2460"
"2014-11-01 00:00:00","assembly","386"
"2014-11-01 00:00:00","c","3655"
"2014-11-01 00:00:00","c#","11837"
"2014-11-01 00:00:00","c++","6539"
"2014-11-01 00:00:00","delphi","425"
"2014-11-01 00:00:00","go","336"
"2014-11-01 00:00:00","java","17779"
"2014-11-01 00:00:00","javascript","17916"
"2014-11-01 00:00:00","perl","656"
"2014-11-01 00:00:00","php","12951"
"2014-11-01 00:00:00","python","9555"
"2014-11-01 00:00:00","r","2700"
"2014-11-01 00:00:00","ruby","2107"
"2014-11-01 00:00:00","swift","2553"
"2014-12-01 00:00:00","assembly","329"
"2014-12-01 00:00:00","c","3148"
"2014-12-01 00:00:00","c#","11054"
"2014-12-01 00:00:00","c++","6067"
"2014-12-01 00:00:00","delphi","313"
"2014-12-01 00:00:00","go","349"
"2014-12-01 00:00:00","java","16317"
"2014-12-01 00:00:00","javascript","16925"
"2014-12-01 00:00:00","perl","565"
"2014-12-01 00:00:00","php","12276"
"2014-12-01 00:00:00","python","9020"
"2014-12-01 00:00:00","r","2356"
"2014-12-01 00:00:00","ruby","2143"
"2014-12-01 00:00:00","swift","2481"
"2015-01-01 00:00:00","assembly","333"
"2015-01-01 00:00:00","c","3204"
"2015-01-01 00:00:00","c#","11715"
"2015-01-01 00:00:00","c++","6121"
"2015-01-01 00:00:00","delphi","379"
"2015-01-01 00:00:00","go","468"
"2015-01-01 00:00:00","java","16504"
"2015-01-01 00:00:00","javascript","18484"
"2015-01-01 00:00:00","perl","589"
"2015-01-01 00:00:00","php","13546"
"2015-01-01 00:00:00","python","9665"
"2015-01-01 00:00:00","r","2681"
"2015-01-01 00:00:00","ruby","2421"
"2015-01-01 00:00:00","swift","3045"
"2015-02-01 00:00:00","assembly","356"
"2015-02-01 00:00:00","c","3361"
"2015-02-01 00:00:00","c#","11771"
"2015-02-01 00:00:00","c++","6463"
"2015-02-01 00:00:00","delphi","414"
"2015-02-01 00:00:00","go","382"
"2015-02-01 00:00:00","java","16711"
"2015-02-01 00:00:00","javascript","18610"
"2015-02-01 00:00:00","perl","564"
"2015-02-01 00:00:00","php","13458"
"2015-02-01 00:00:00","python","10184"
"2015-02-01 00:00:00","r","2964"
"2015-02-01 00:00:00","ruby","2257"
"2015-02-01 00:00:00","swift","3231"
"2015-03-01 00:00:00","assembly","384"
"2015-03-01 00:00:00","c","3914"
"2015-03-01 00:00:00","c#","13244"
"2015-03-01 00:00:00","c++","7380"
"2015-03-01 00:00:00","delphi","409"
"2015-03-01 00:00:00","go","468"
"2015-03-01 00:00:00","java","19710"
"2015-03-01 00:00:00","javascript","20477"
"2015-03-01 00:00:00","perl","638"
"2015-03-01 00:00:00","php","14843"
"2015-03-01 00:00:00","python","11579"
"2015-03-01 00:00:00","r","3558"
"2015-03-01 00:00:00","ruby","2457"
"2015-03-01 00:00:00","swift","3587"
"2015-04-01 00:00:00","assembly","438"
"2015-04-01 00:00:00","c","3946"
"2015-04-01 00:00:00","c#","13061"
"2015-04-01 00:00:00","c++","7135"
"2015-04-01 00:00:00","delphi","388"
"2015-04-01 00:00:00","go","388"
"2015-04-01 00:00:00","java","19755"
"2015-04-01 00:00:00","javascript","20869"
"2015-04-01 00:00:00","perl","575"
"2015-04-01 00:00:00","php","14898"
"2015-04-01 00:00:00","python","11415"
"2015-04-01 00:00:00","r","3321"
"2015-04-01 00:00:00","ruby","2499"
"2015-04-01 00:00:00","swift","4009"
"2015-05-01 00:00:00","assembly","368"
"2015-05-01 00:00:00","c","3520"
"2015-05-01 00:00:00","c#","13346"
"2015-05-01 00:00:00","c++","6809"
"2015-05-01 00:00:00","delphi","399"
"2015-05-01 00:00:00","go","396"
"2015-05-01 00:00:00","java","18513"
"2015-05-01 00:00:00","javascript","22112"
"2015-05-01 00:00:00","perl","527"
"2015-05-01 00:00:00","php","14526"
"2015-05-01 00:00:00","python","11198"
"2015-05-01 00:00:00","r","3420"
"2015-05-01 00:00:00","ruby","2503"
"2015-05-01 00:00:00","swift","3790"
"2015-06-01 00:00:00","assembly","267"
"2015-06-01 00:00:00","c","3164"
"2015-06-01 00:00:00","c#","13528"
"2015-06-01 00:00:00","c++","6515"
"2015-06-01 00:00:00","delphi","388"
"2015-06-01 00:00:00","go","421"
"2015-06-01 00:00:00","java","17841"
"2015-06-01 00:00:00","javascript","22607"
"2015-06-01 00:00:00","perl","570"
"2015-06-01 00:00:00","php","14331"
"2015-06-01 00:00:00","python","11793"
"2015-06-01 00:00:00","r","3430"
"2015-06-01 00:00:00","ruby","2577"
"2015-06-01 00:00:00","swift","4320"
"2015-07-01 00:00:00","assembly","259"
"2015-07-01 00:00:00","c","2812"
"2015-07-01 00:00:00","c#","14105"
"2015-07-01 00:00:00","c++","6699"
"2015-07-01 00:00:00","delphi","385"
"2015-07-01 00:00:00","go","466"
"2015-07-01 00:00:00","java","18676"
"2015-07-01 00:00:00","javascript","23956"
"2015-07-01 00:00:00","perl","578"
"2015-07-01 00:00:00","php","15337"
"2015-07-01 00:00:00","python","12307"
"2015-07-01 00:00:00","r","3981"
"2015-07-01 00:00:00","ruby","2584"
"2015-07-01 00:00:00","swift","5143"
"2015-08-01 00:00:00","assembly","219"
"2015-08-01 00:00:00","c","2570"
"2015-08-01 00:00:00","c#","13224"
"2015-08-01 00:00:00","c++","5869"
"2015-08-01 00:00:00","delphi","387"
"2015-08-01 00:00:00","go","448"
"2015-08-01 00:00:00","java","17078"
"2015-08-01 00:00:00","javascript","22150"
"2015-08-01 00:00:00","perl","552"
"2015-08-01 00:00:00","php","14214"
"2015-08-01 00:00:00","python","11215"
"2015-08-01 00:00:00","r","3493"
"2015-08-01 00:00:00","ruby","2313"
"2015-08-01 00:00:00","swift","5081"
"2015-09-01 00:00:00","assembly","257"
"2015-09-01 00:00:00","c","3082"
"2015-09-01 00:00:00","c#","12912"
"2015-09-01 00:00:00","c++","5909"
"2015-09-01 00:00:00","delphi","358"
"2015-09-01 00:00:00","go","420"
"2015-09-01 00:00:00","java","16931"
"2015-09-01 00:00:00","javascript","21390"
"2015-09-01 00:00:00","perl","465"
"2015-09-01 00:00:00","php","13477"
"2015-09-01 00:00:00","python","10957"
"2015-09-01 00:00:00","r","3329"
"2015-09-01 00:00:00","ruby","2157"
"2015-09-01 00:00:00","swift","4546"
"2015-10-01 00:00:00","assembly","430"
"2015-10-01 00:00:00","c","3677"
"2015-10-01 00:00:00","c#","12790"
"2015-10-01 00:00:00","c++","7047"
"2015-10-01 00:00:00","delphi","421"
"2015-10-01 00:00:00","go","426"
"2015-10-01 00:00:00","java","18535"
"2015-10-01 00:00:00","javascript","21810"
"2015-10-01 00:00:00","perl","497"
"2015-10-01 00:00:00","php","13875"
"2015-10-01 00:00:00","python","12465"
"2015-10-01 00:00:00","r","3679"
"2015-10-01 00:00:00","ruby","2193"
"2015-10-01 00:00:00","swift","4291"
"2015-11-01 00:00:00","assembly","403"
"2015-11-01 00:00:00","c","3610"
"2015-11-01 00:00:00","c#","12371"
"2015-11-01 00:00:00","c++","7081"
"2015-11-01 00:00:00","delphi","389"
"2015-11-01 00:00:00","go","433"
"2015-11-01 00:00:00","java","17760"
"2015-11-01 00:00:00","javascript","21258"
"2015-11-01 00:00:00","perl","463"
"2015-11-01 00:00:00","php","13287"
"2015-11-01 00:00:00","python","12277"
"2015-11-01 00:00:00","r","3538"
"2015-11-01 00:00:00","ruby","1956"
"2015-11-01 00:00:00","swift","4317"
"2015-12-01 00:00:00","assembly","352"
"2015-12-01 00:00:00","c","3086"
"2015-12-01 00:00:00","c#","12131"
"2015-12-01 00:00:00","c++","6557"
"2015-12-01 00:00:00","delphi","314"
"2015-12-01 00:00:00","go","418"
"2015-12-01 00:00:00","java","16538"
"2015-12-01 00:00:00","javascript","21066"
"2015-12-01 00:00:00","perl","477"
"2015-12-01 00:00:00","php","13692"
"2015-12-01 00:00:00","python","11634"
"2015-12-01 00:00:00","r","3178"
"2015-12-01 00:00:00","ruby","2028"
"2015-12-01 00:00:00","swift","4370"
"2016-01-01 00:00:00","assembly","247"
"2016-01-01 00:00:00","c","3042"
"2016-01-01 00:00:00","c#","12352"
"2016-01-01 00:00:00","c++","6095"
"2016-01-01 00:00:00","delphi","318"
"2016-01-01 00:00:00","go","494"
"2016-01-01 00:00:00","java","16609"
"2016-01-01 00:00:00","javascript","22494"
"2016-01-01 00:00:00","perl","445"
"2016-01-01 00:00:00","php","14533"
"2016-01-01 00:00:00","python","12338"
"2016-01-01 00:00:00","r","3535"
"2016-01-01 00:00:00","ruby","2143"
"2016-01-01 00:00:00","swift","4779"
"2016-02-01 00:00:00","assembly","347"
"2016-02-01 00:00:00","c","3274"
"2016-02-01 00:00:00","c#","12720"
"2016-02-01 00:00:00","c++","6549"
"2016-02-01 00:00:00","delphi","355"
"2016-02-01 00:00:00","go","541"
"2016-02-01 00:00:00","java","17834"
"2016-02-01 00:00:00","javascript","22459"
"2016-02-01 00:00:00","perl","500"
"2016-02-01 00:00:00","php","14870"
"2016-02-01 00:00:00","python","13230"
"2016-02-01 00:00:00","r","3587"
"2016-02-01 00:00:00","ruby","2248"
"2016-02-01 00:00:00","swift","4747"
"2016-03-01 00:00:00","assembly","436"
"2016-03-01 00:00:00","c","3442"
"2016-03-01 00:00:00","c#","13598"
"2016-03-01 00:00:00","c++","7013"
"2016-03-01 00:00:00","delphi","339"
"2016-03-01 00:00:00","go","593"
"2016-03-01 00:00:00","java","19888"
"2016-03-01 00:00:00","javascript","24081"
"2016-03-01 00:00:00","perl","467"
"2016-03-01 00:00:00","php","15083"
"2016-03-01 00:00:00","python","14050"
"2016-03-01 00:00:00","r","4041"
"2016-03-01 00:00:00","ruby","2256"
"2016-03-01 00:00:00","swift","5071"
"2016-04-01 00:00:00","assembly","413"
"2016-04-01 00:00:00","c","3350"
"2016-04-01 00:00:00","c#","13708"
"2016-04-01 00:00:00","c++","6883"
"2016-04-01 00:00:00","delphi","324"
"2016-04-01 00:00:00","go","602"
"2016-04-01 00:00:00","java","19463"
"2016-04-01 00:00:00","javascript","23434"
"2016-04-01 00:00:00","perl","492"
"2016-04-01 00:00:00","php","14431"
"2016-04-01 00:00:00","python","13631"
"2016-04-01 00:00:00","r","4125"
"2016-04-01 00:00:00","ruby","2214"
"2016-04-01 00:00:00","swift","4745"
"2016-05-01 00:00:00","assembly","324"
"2016-05-01 00:00:00","c","2720"
"2016-05-01 00:00:00","c#","13483"
"2016-05-01 00:00:00","c++","6124"
"2016-05-01 00:00:00","delphi","337"
"2016-05-01 00:00:00","go","579"
"2016-05-01 00:00:00","java","17005"
"2016-05-01 00:00:00","javascript","22975"
"2016-05-01 00:00:00","perl","486"
"2016-05-01 00:00:00","php","14396"
"2016-05-01 00:00:00","python","13090"
"2016-05-01 00:00:00","r","3798"
"2016-05-01 00:00:00","ruby","2131"
"2016-05-01 00:00:00","swift","4407"
"2016-06-01 00:00:00","assembly","290"
"2016-06-01 00:00:00","c","2299"
"2016-06-01 00:00:00","c#","13044"
"2016-06-01 00:00:00","c++","5711"
"2016-06-01 00:00:00","delphi","281"
"2016-06-01 00:00:00","go","548"
"2016-06-01 00:00:00","java","15898"
"2016-06-01 00:00:00","javascript","22133"
"2016-06-01 00:00:00","perl","435"
"2016-06-01 00:00:00","php","13574"
"2016-06-01 00:00:00","python","12897"
"2016-06-01 00:00:00","r","3860"
"2016-06-01 00:00:00","ruby","2107"
"2016-06-01 00:00:00","swift","4789"
"2016-07-01 00:00:00","assembly","202"
"2016-07-01 00:00:00","c","2345"
"2016-07-01 00:00:00","c#","11990"
"2016-07-01 00:00:00","c++","5462"
"2016-07-01 00:00:00","delphi","242"
"2016-07-01 00:00:00","go","536"
"2016-07-01 00:00:00","java","14922"
"2016-07-01 00:00:00","javascript","22194"
"2016-07-01 00:00:00","perl","413"
"2016-07-01 00:00:00","php","12877"
"2016-07-01 00:00:00","python","12804"
"2016-07-01 00:00:00","r","3745"
"2016-07-01 00:00:00","ruby","1900"
"2016-07-01 00:00:00","swift","4929"
"2016-08-01 00:00:00","assembly","256"
"2016-08-01 00:00:00","c","2212"
"2016-08-01 00:00:00","c#","12710"
"2016-08-01 00:00:00","c++","5013"
"2016-08-01 00:00:00","delphi","338"
"2016-08-01 00:00:00","go","572"
"2016-08-01 00:00:00","java","15165"
"2016-08-01 00:00:00","javascript","22650"
"2016-08-01 00:00:00","perl","460"
"2016-08-01 00:00:00","php","12842"
"2016-08-01 00:00:00","python","12895"
"2016-08-01 00:00:00","r","3783"
"2016-08-01 00:00:00","ruby","1875"
"2016-08-01 00:00:00","swift","4897"
"2016-09-01 00:00:00","assembly","335"
"2016-09-01 00:00:00","c","2509"
"2016-09-01 00:00:00","c#","11095"
"2016-09-01 00:00:00","c++","5135"
"2016-09-01 00:00:00","delphi","287"
"2016-09-01 00:00:00","go","511"
"2016-09-01 00:00:00","java","14652"
"2016-09-01 00:00:00","javascript","20432"
"2016-09-01 00:00:00","perl","462"
"2016-09-01 00:00:00","php","12105"
"2016-09-01 00:00:00","python","12327"
"2016-09-01 00:00:00","r","3301"
"2016-09-01 00:00:00","ruby","1924"
"2016-09-01 00:00:00","swift","4851"
"2016-10-01 00:00:00","assembly","398"
"2016-10-01 00:00:00","c","3205"
"2016-10-01 00:00:00","c#","11441"
"2016-10-01 00:00:00","c++","5964"
"2016-10-01 00:00:00","delphi","267"
"2016-10-01 00:00:00","go","532"
"2016-10-01 00:00:00","java","15308"
"2016-10-01 00:00:00","javascript","20430"
"2016-10-01 00:00:00","perl","402"
"2016-10-01 00:00:00","php","12230"
"2016-10-01 00:00:00","python","13487"
"2016-10-01 00:00:00","r","3786"
"2016-10-01 00:00:00","ruby","1820"
"2016-10-01 00:00:00","swift","4725"
"2016-11-01 00:00:00","assembly","412"
"2016-11-01 00:00:00","c","3260"
"2016-11-01 00:00:00","c#","11643"
"2016-11-01 00:00:00","c++","6066"
"2016-11-01 00:00:00","delphi","274"
"2016-11-01 00:00:00","go","476"
